sentimento,score,texto_original,texto_processado
Negativo,0.6601167321205139,"Ultimamente pago as taxas mais caras do mercado, a opção de empréstimo só posso fazer com prazo estipulado pelo Mercado Pago em 12 vezes com uma taxa de juros exorbitante, quase dobra o valor quando terminar de pagar, uso o Mercado Livre ha mais de 10 anos e o Mercado Pago há mais de 2 anos tenho 3 maquinas de cartão, o único benefício que tenho é que sou meli+ e só agora até meu cartão de crédito quando vou passar em algum estabelecimento da erro, que tenho que desbloquear, lamentável",ultimamente pago as taxas mais caras do mercado a opcao de emprestimo so posso fazer com prazo estipulado pelo mercado pago em vezes com uma taxa de juros exorbitante quase dobra o valor quando terminar de pagar uso o mercado livre ha mais de anos e o mercado pago ha mais de anos tenho maquinas de cartao o unico beneficio que tenho e que sou meli e so agora ate meu cartao de credito quando vou passar em algum estabelecimento da erro que tenho que desbloquear lamentavel
Negativo,0.5590199828147888,"O difícil do app é que , quando vc tenta colocar o email e não está correto , não pode colocar o mesmo email porque, só vem a mensagem dizendo que vc atingiu o limite di tentativas e a mensagem falando que só podi tentar novamente depois di 24 horas , coisa que não funciona . Já tentei depois di 24 horas e não consegui . Se possível atualizem pra melhorar isso. Ou poderiam colocar o número di celular como uma outra opção se por acaso desse falha pelo e-mail , assim ficaria melhor e mas fácil..",o dificil do app e que quando vc tenta colocar o email e nao esta correto nao pode colocar o mesmo email porque so vem a mensagem dizendo que vc atingiu o limite di tentativas e a mensagem falando que so podi tentar novamente depois di horas coisa que nao funciona ja tentei depois di horas e nao consegui se possivel atualizem pra melhorar isso ou poderiam colocar o numero di celular como uma outra opcao se por acaso desse falha pelo e mail assim ficaria melhor e mas facil
Negativo,0.8155145645141602,"Um dos piores app que já usei. Só estou usando porque meu produto chegou com defeito e eles só deposita o reembolso neste app. Péssimo, ruim, má qualidade e funções limitadas.",um dos piores app que ja usei so estou usando porque meu produto chegou com defeito e eles so deposita o reembolso neste app pessimo ruim ma qualidade e funcoes limitadas
Negativo,0.5154856443405151,"Aplicativo sacana. Fica o tempo todo divulgando serviços nas notificações do celular, mas para avisar que a fatura do cartão vai vencer no dia, não avisa. Parece proposital para que o cliente esqueça da fatura e pague juros. A concorrente 🟣 sempre avisa quando a fatura está perto de vencer e ainda tem opção para programar o pagamento, coisa que o mercado pago não tem. Ao invés de investirem tanto em ofertas para endividar mais os clientes, deviam investir em opções para facilitar a vida deles",aplicativo sacana fica o tempo todo divulgando servicos nas notificacoes do celular mas para avisar que a fatura do cartao vai vencer no dia nao avisa parece proposital para que o cliente esqueca da fatura e pague juros a concorrente sempre avisa quando a fatura esta perto de vencer e ainda tem opcao para programar o pagamento coisa que o mercado pago nao tem ao inves de investirem tanto em ofertas para endividar mais os clientes deviam investir em opcoes para facilitar a vida deles
Neutro,0.48370397090911865,"Aonde entram os pontos por compras Meli+ ? Antes era quando pagava a fatura aí aparecia quantos pontos se ganhava pra ter os benefícios, agora sumiu. No meu ver não está tendo mais pontos, ou expliquem aonde eu acúmulo os pontos e possa ver esse histórico dos pontos acumulados por compras!",aonde entram os pontos por compras meli antes era quando pagava a fatura ai aparecia quantos pontos se ganhava pra ter os beneficios agora sumiu no meu ver nao esta tendo mais pontos ou expliquem aonde eu acumulo os pontos e possa ver esse historico dos pontos acumulados por compras
Negativo,0.6974404454231262,"juros muito alto,paguei 5 parcelas de 499, atrase 1 mês faltava 1 para acabar isso na função mercado crédito,n função crédito do cartão também eu estava em negociaçã e termina em julho,beleza o mercado crédito mim deu um bom desconto e terminei de pagar,agora o cartão de crédito só pago se mim de um bom desconto se não mim de fico devendo para o resto da vida.",juros muito alto paguei parcelas de atrase mes faltava para acabar isso na funcao mercado credito n funcao credito do cartao tambem eu estava em negociaca e termina em julho beleza o mercado credito mim deu um bom desconto e terminei de pagar agora o cartao de credito so pago se mim de um bom desconto se nao mim de fico devendo para o resto da vida
Negativo,0.5367552042007446,"O app tem poucas camadas de segurança, para entrar no mesmo bastar fazer um reconhecimento facial, não solicita senha e nem códigos, isso causa uma sensação de insegurança.",o app tem poucas camadas de seguranca para entrar no mesmo bastar fazer um reconhecimento facial nao solicita senha e nem codigos isso causa uma sensacao de inseguranca
Negativo,0.7484437227249146,"Muitas vezes quando vou pagar por aproximação o aplicativo não reconhece a digital de jeito nenhum, e falta um botão de tela inicia pq após vc fazer alguma ação no app tem que voltar tela por tela, tmb senti falta de um modo escuro",muitas vezes quando vou pagar por aproximacao o aplicativo nao reconhece a digital de jeito nenhum e falta um botao de tela inicia pq apos vc fazer alguma acao no app tem que voltar tela por tela tmb senti falta de um modo escuro
Negativo,0.7613525390625,"É muito bom, mas não fecha a fatura do cartão na data acordada, fecha um ou dois dias depois tendo compras ou não a serem lançadas, isso atrapalha nosso controle e programação. os outros bancos costumam fechar na primeira hora da data acordada",e muito bom mas nao fecha a fatura do cartao na data acordada fecha um ou dois dias depois tendo compras ou nao a serem lancadas isso atrapalha nosso controle e programacao os outros bancos costumam fechar na primeira hora da data acordada
Negativo,0.7909599542617798,"estou com. problema snonmeu aplicativo meu celular parou de pegar a digital, e por conta disso eu não consigo mais entrar no meu aplicativo msm desinstalando e instalando de novo nada muda não entra e conseguenti não estou conseguindo usar minha maquininha. preciso urgente de ajuda.",estou com problema snonmeu aplicativo meu celular parou de pegar a digital e por conta disso eu nao consigo mais entrar no meu aplicativo msm desinstalando e instalando de novo nada muda nao entra e conseguenti nao estou conseguindo usar minha maquininha preciso urgente de ajuda
